app_rank,cate_name,ctnt_name,app_count
1,도구,녹음기,3021
2,도구,손전등,2994
3,도구,QR코드 스캐너,2767
4,도구,메모장,2704
5,도구,파일 관리자,2565
1,소셜 미디어,카카오톡,3356
2,소셜 미디어,클럽하우스,2851
3,소셜 미디어,텔레그램,2835
4,소셜 미디어,스냅챗,2732
5,소셜 미디어,페이스북,2401
1,음악,SoundCloud,2934
2,음악,샤잠,2748
3,음악,지니뮤직,2607
4,음악,유튜브 뮤직,2604
5,음악,플로,2496
1,오피스,한컴오피스,2951
2,오피스,PDF Reader,2791
3,오피스,Trello,2736
4,오피스,Google Keep,2591
5,오피스,Zoom,1984
1,맟춤 설정,Go Launcher,3288
2,맟춤 설정,Always on Display 설정기,2478
3,맟춤 설정,Zedge,2404
4,맟춤 설정,배경화면 갤러리,2232
5,맟춤 설정,폰트 변경기,2186
1,게임,포켓몬GO,2962
2,게임,세븐나이츠,2810
3,게임,모여봐요 동물의 숲,2720
4,게임,킹덤: 왕가의 피,2607
5,게임,클래시 로얄,2603
1,여행,트리바고,2568
2,여행,대한항공,2536
3,여행,고속버스모바일,2096
4,여행,에어비앤비,1999
5,여행,아시아나항공,1720
1,사진,YouCam Perfect,3042
2,사진,PicsArt,2242
3,사진,캔바,2142
4,사진,Photoroom,1914
5,사진,B612,969
