app_rank,cate_name,ctnt_name,app_count
1,맟춤 설정,Go Launcher,2894
2,맟춤 설정,아이콘팩,2847
3,맟춤 설정,위젯마법사,2644
4,맟춤 설정,Nova Launcher,2630
5,맟춤 설정,Edge Lighting,2064
1,사진,B612,2986
2,사진,스노우,2575
3,사진,Photoroom,2499
4,사진,Lightroom,2498
5,사진,PicsArt,2159
1,게임,모여봐요 동물의 숲,3149
2,게임,킹덤: 왕가의 피,2826
3,게임,히트2,2799
4,게임,쿠키런 킹덤,2799
5,게임,리그 오브 레전드,2756
1,도구,램정리 도우미,2376
2,도구,메모장,2371
3,도구,시계,2232
4,도구,계산기,2155
5,도구,녹음기,1358
1,오피스,Zoom,3070
2,오피스,한컴오피스,2748
3,오피스,구글 문서,2733
4,오피스,Microsoft Word,2464
5,오피스,Slack,2343
1,여행,야놀자,2723
2,여행,호텔스닷컴,2281
3,여행,Booking.com,2251
4,여행,대한항공,2071
5,여행,스카이스캐너,1710
1,음악,SoundCloud,3063
2,음악,뮤직메이트,2559
3,음악,네이버 바이브,2400
4,음악,유튜브 뮤직,2247
5,음악,스포티파이,1856
1,소셜 미디어,페이스북,3044
2,소셜 미디어,텔레그램,2467
3,소셜 미디어,틱톡,2467
4,소셜 미디어,카카오톡,2247
5,소셜 미디어,스냅챗,2168
