app_rank,cate_name,ctnt_name,app_count
1,오피스,한컴오피스,3326
2,오피스,한컴오피스,3108
3,오피스,Zoom,3070
4,오피스,한컴오피스,3014
5,오피스,한컴오피스,3003
1,게임,쿠키런 킹덤,3327
2,게임,히트2,3300
3,게임,쿠키런 킹덤,3230
4,게임,모여봐요 동물의 숲,3203
5,게임,모여봐요 동물의 숲,3149
1,도구,램정리 도우미,2616
2,도구,램정리 도우미,2566
3,도구,메모장,2555
4,도구,메모장,2467
5,도구,메모장,2463
1,여행,야놀자,3166
2,여행,야놀자,3161
3,여행,야놀자,3074
4,여행,야놀자,2886
5,여행,야놀자,2723
1,맟춤 설정,아이콘팩,3418
2,맟춤 설정,Go Launcher,3249
3,맟춤 설정,아이콘팩,3136
4,맟춤 설정,Nova Launcher,3072
5,맟춤 설정,Nova Launcher,2992
1,음악,SoundCloud,3131
2,음악,SoundCloud,3063
3,음악,뮤직메이트,3053
4,음악,SoundCloud,2952
5,음악,유튜브 뮤직,2921
1,소셜 미디어,텔레그램,3229
2,소셜 미디어,텔레그램,3159
3,소셜 미디어,텔레그램,3081
4,소셜 미디어,페이스북,3044
5,소셜 미디어,페이스북,2920
1,사진,B612,3199
2,사진,스노우,3065
3,사진,B612,3020
4,사진,B612,2986
5,사진,B612,2935
